7.8613e-01 2.0269e-05 4.1394e-05 1.7748e-05 1.0606e-04 7.8174e-05 9.1226e-05 5.0133e-05 1.6914e-05 -8.1353e-06 -3.8942e-05 5.4188e-05 2.2409e-05 1.0304e-04 1.8666e-04 1.6314e-04
1.5996e+00 8.2757e-05 1.7105e-05 8.0507e-06 3.1077e-05 4.2266e-05 5.2663e-05 4.1520e-05 7.2967e-05 1.8379e-05 4.8224e-05 4.1930e-05 5.8175e-05 9.8224e-05 6.9742e-05 8.5789e-05
3.2535e+00 4.9138e-05 1.5337e-05 1.8855e-05 4.7269e-06 8.2019e-06 3.9688e-05 1.3465e-05 1.5627e-05 7.2676e-06 1.8594e-05 3.4037e-05 4.9417e-05 4.6674e-05 5.9900e-05 8.0920e-05
6.6230e+00 1.1794e-05 6.7408e-06 5.7520e-06 4.1919e-06 5.2836e-06 1.2588e-05 1.2699e-05 1.1655e-05 2.1373e-05 1.7674e-05 1.5496e-05 2.7810e-05 1.9503e-05 2.7527e-05 3.0512e-05
1.3493e+01 -4.8264e-06 6.9753e-06 8.9301e-07 4.4190e-06 -1.5086e-06 3.2741e-06 6.5243e-06 4.6159e-07 6.1503e-06 3.1744e-06 6.0575e-06 7.8866e-06 1.1303e-05 1.4498e-05 1.7818e-05
2.7385e+01 -9.8434e-06 1.7840e-06 1.0625e-07 -1.1367e-06 3.2053e-06 7.5941e-06 2.4329e-06 1.9661e-06 3.5480e-06 7.9923e-07 4.4364e-06 6.2552e-06 6.2860e-07 7.3622e-06 9.9149e-06
5.5541e+01 -2.0546e-06 2.1754e-06 7.2396e-07 2.5384e-07 -6.5255e-07 1.7894e-06 1.6752e-06 1.6741e-06 8.5646e-07 8.4359e-07 1.5879e-06 1.8276e-06 2.7089e-06 4.1425e-06 4.7893e-06
1.1261e+02 -9.7180e-07 2.4439e-07 -3.0935e-07 2.5594e-07 -4.3314e-07 -5.6510e-07 -8.4936e-08 4.9293e-08 8.6540e-07 8.9683e-08 1.4433e-07 7.1215e-07 8.4275e-07 1.5172e-06 2.3722e-06
2.2372e+02 -3.5450e-07 -5.6990e-08 1.0162e-07 5.7293e-08 -6.7362e-07 -3.8707e-07 -3.4640e-07 -3.8788e-08 -9.3278e-07 -4.9615e-07 7.5669e-08 -3.6736e-07 -2.9737e-07 -5.4906e-07 -4.7131e-07
7.8613e-01 -2.1667e-04 8.2580e-05 -6.3253e-05 -4.8020e-06 2.4364e-05 4.7323e-06 -1.7754e-05 2.6524e-05 1.2873e-05 2.2680e-05 -1.7830e-05 -3.1238e-05 2.0101e-05 5.5382e-05 -4.7574e-05
1.5996e+00 4.6057e-05 -1.1000e-05 -3.1375e-05 1.4406e-05 2.8683e-05 5.0660e-05 2.9795e-05 4.0701e-05 1.9052e-05 2.1424e-05 1.2453e-05 -3.3534e-05 -9.3207e-06 -2.0263e-05 1.2857e-05
3.2535e+00 2.1379e-05 1.6071e-05 -2.0600e-05 -8.1659e-06 1.1614e-05 8.9947e-06 -5.3106e-07 1.7611e-05 5.7333e-06 1.4299e-05 2.4699e-05 3.5984e-05 1.7380e-05 1.0913e-05 8.5074e-06
6.6230e+00 5.4004e-06 1.0716e-05 -7.3810e-06 1.2549e-05 1.1128e-05 -6.2317e-07 -6.8210e-07 -1.9949e-06 1.9209e-06 2.8490e-06 1.4218e-05 1.1307e-05 3.2423e-06 1.3679e-05 1.8339e-05
1.3493e+01 -1.8500e-07 2.8363e-06 1.5717e-06 1.3584e-06 4.7283e-06 6.3260e-06 3.9681e-06 5.9884e-07 2.2953e-06 6.6045e-06 3.9788e-06 4.3878e-06 1.2672e-05 5.7914e-06 1.2676e-05
2.7385e+01 -2.8291e-06 -3.5260e-07 -1.9641e-06 -4.2969e-07 -1.2358e-06 -1.5280e-06 2.7587e-06 7.6187e-07 4.2215e-06 -2.1772e-07 2.6296e-06 1.4761e-06 4.9229e-06 4.3878e-06 9.3670e-06
5.5541e+01 6.5939e-07 7.0282e-07 -4.6974e-07 -1.1035e-06 -9.2075e-07 1.2135e-06 8.9385e-07 2.8803e-06 1.2220e-06 2.5063e-06 1.3576e-06 2.4659e-06 4.0393e-06 3.3693e-06 4.7683e-06
1.1261e+02 -7.0946e-07 -1.7358e-08 9.1141e-07 7.0053e-07 -2.7285e-07 8.4102e-07 3.9556e-07 1.0155e-06 7.1754e-07 5.5418e-07 3.0638e-07 1.2465e-06 6.4231e-07 2.2171e-06 2.8818e-06
2.2372e+02 2.6981e-07 1.7992e-08 -2.3328e-07 7.8977e-07 3.7245e-07 -4.2473e-07 -2.7426e-08 6.2034e-07 6.6641e-07 1.8237e-07 5.0618e-07 3.8094e-07 9.2257e-07 1.0105e-06 1.2165e-06
