0.41751171	1.8392963	3.5512112	5.0120416	6.209533	6.7859416	r[5, 7]	r[5, 8]	r[5, 9]	r[5, 10]	r[5, 11]	r[5, 12]	r[5, 13]	r[5, 14]	r[5, 15]	r[5, 16]	r[5, 17]	r[5, 18]	r[5, 19]	r[5, 20]	r[5, 21]	r[5, 22]	r[5, 23]	r[5, 24]	r[5, 25]	r[5, 26]	r[5, 27]	r[5, 28]	r[5, 29]	r[5, 30]	r[5, 31]
0.052429967	0.27183573	0.64934955	1.1584832	1.7663327	2.4376076	3.1378472	3.8355573	4.5033167	5.1181558	5.6613797	6.1183087	6.477681	6.7314113	6.8741484	r[14, 16]	r[14, 17]	r[14, 18]	r[14, 19]	r[14, 20]	r[14, 21]	r[14, 22]	r[14, 23]	r[14, 24]	r[14, 25]	r[14, 26]	r[14, 27]	r[14, 28]	r[14, 29]	r[14, 30]	r[14, 31]
0.045600055	0.23699142	0.56846219	1.0198992	1.5656944	2.1775508	2.8269007	3.4866976	4.1325376	4.7432049	5.3008197	5.7907035	6.2011685	6.5231854	6.7501637	6.8777302	r[15, 17]	r[15, 18]	r[15, 19]	r[15, 20]	r[15, 21]	r[15, 22]	r[15, 23]	r[15, 24]	r[15, 25]	r[15, 26]	r[15, 27]	r[15, 28]	r[15, 29]	r[15, 30]	r[15, 31]
0.040020834	0.20839251	0.50152537	0.90392033	1.3954487	1.9533238	2.5538997	3.1741184	3.7925275	4.3898904	4.9494657	5.4570613	5.9009356	6.2716424	6.5618295	6.7660757	6.8807692	r[16, 18]	r[16, 19]	r[16, 20]	r[16, 21]	r[16, 22]	r[16, 23]	r[16, 24]	r[16, 25]	r[16, 26]	r[16, 27]	r[16, 28]	r[16, 29]	r[16, 30]	r[16, 31]
0.035405011	0.18464209	0.44556785	0.80607481	1.2501829	1.7594407	2.3142585	2.8950535	3.4831248	4.0612464	4.6140123	5.1279853	5.5917133	5.9956576	6.3320829	6.5949285	6.779694	6.8833693	r[17, 19]	r[17, 20]	r[17, 21]	r[17, 22]	r[17, 23]	r[17, 24]	r[17, 25]	r[17, 26]	r[17, 27]	r[17, 28]	r[17, 29]	r[17, 30]	r[17, 31]
0.031543172	0.16471008	0.39835286	0.72289403	1.1255232	1.5912053	2.1036712	2.646312	3.2029089	3.7581724	4.298099	4.810173	5.2834503	5.7085587	6.0776472	6.3843091	6.623496	6.7914393	6.8856111	r[18, 20]	r[18, 21]	r[18, 22]	r[18, 23]	r[18, 24]	r[18, 25]	r[18, 26]	r[18, 27]	r[18, 28]	r[18, 29]	r[18, 30]	r[18, 31]
0.028279789	0.1478243	0.35817554	0.65166944	1.0179403	1.444656	1.9182572	2.4246525	2.9498154	3.4802552	4.0033574	4.5076049	4.9827009	5.4196172	5.8105907	6.1490867	6.4297453	6.6483233	6.80164	6.8875574	r[19, 21]	r[19, 22]	r[19, 23]	r[19, 24]	r[19, 25]	r[19, 26]	r[19, 27]	r[19, 28]	r[19, 29]	r[19, 30]	r[19, 31]
0.02549742	0.13339724	0.32372093	0.59027028	0.92458311	1.3164765	1.7546024	2.2269865	2.7215118	3.2263197	3.7301188	4.2224058	4.6936067	5.1351546	5.5395191	5.9002016	6.2117096	6.4695195	6.6700361	6.8105557	6.8892579	r[20, 22]	r[20, 23]	r[20, 24]	r[20, 25]	r[20, 26]	r[20, 27]	r[20, 28]	r[20, 29]	r[20, 30]	r[20, 31]
0.023106053	0.12097576	0.29396343	0.53700729	0.84314104	1.2039009	1.6097459	2.0504765	2.5156239	2.9947858	3.4778996	3.9554494	4.4186123	4.8593521	5.2704699	5.645623	5.9793209	6.2669075	6.5045348	6.6891346	6.8183935	6.8907525	r[21, 23]	r[21, 24]	r[21, 25]	r[21, 26]	r[21, 27]	r[21, 28]	r[21, 29]	r[21, 30]	r[21, 31]
0.021035768	0.11020607	0.26809468	0.49053072	0.77173406	1.1046245	1.481142	1.8925733	2.329864	2.7838975	3.2457311	3.7067842	4.1589808	4.5948485	5.0075822	5.3910789	5.73995	6.0495189	6.315808	6.5355208	6.706022	6.8253204	6.892073	r[22, 24]	r[22, 25]	r[22, 26]	r[22, 27]	r[22, 28]	r[22, 29]	r[22, 30]	r[22, 31]
0.019231594	0.10080876	0.24547126	0.44975382	0.708825	1.0167252	1.3666124	1.7510186	2.1620994	2.5918643	3.0323787	3.4759309	3.915165	4.3431798	4.7535983	5.1406122	5.4990064	5.8241678	6.1120835	6.3593325	6.5630727	6.7210271	6.8314722	6.8932454	r[23, 25]	r[23, 26]	r[23, 27]	r[23, 28]	r[23, 29]	r[23, 30]	r[23, 31]
0.01764983	0.092560894	0.22557634	0.41379507	0.65315064	0.93859671	1.2642976	1.6238296	2.0103821	2.4169464	2.8364871	3.2620882	3.6870738	4.1051026	4.5102392	4.8970034	5.260402	5.5959467	5.8996608	6.1680788	6.3982398	6.5876794	6.7344194	6.8369604	6.8942911	r[24, 26]	r[24, 27]	r[24, 28]	r[24, 29]	r[24, 30]	r[24, 31]
0.016255385	0.085282899	0.20799118	0.38193428	0.60366739	0.86889322	1.1726108	1.5092748	1.8729571	2.2575027	2.6566733	3.0642739	3.474261	3.8808304	4.2784862	4.6620924	5.026909	5.3686155	5.6833243	5.9675862	6.2183902	6.4331596	6.6097459	6.746422	6.8418772	6.8952277	r[25, 27]	r[25, 28]	r[25, 29]	r[25, 30]	r[25, 31]
0.015019824	0.078828841	0.19237383	0.35357905	0.55950856	0.80648315	1.0901975	1.4058467	1.7482573	2.1120147	2.4915843	2.8814201	3.27606	3.670206	4.0587897	4.437023	4.8004362	5.1449054	5.4666701	5.7623434	6.0289166	6.2637595	6.464618	6.62961	6.7572206	6.8462991	6.8960699	r[26, 28]	r[26, 29]	r[26, 30]	r[26, 31]
0.013919905	0.073079169	0.17844293	0.3282389	0.51995058	0.75041177	1.0158995	1.3122353	1.6348913	1.9790953	2.3399321	2.7124365	3.0916768	3.4728265	3.8512253	4.2224277	4.5822415	4.9267567	5.2523658	5.5557779	5.8340266	6.084474	6.3048111	6.4930569	6.647555	6.7669711	6.8502905	6.89683	r[27, 29]	r[27, 30]	r[27, 31]
0.012936485	0.067935201	0.16596538	0.30550526	0.4843863	0.69987054	0.94872478	1.2273022	1.5316284	1.8574886	2.2005119	2.5562512	2.9202552	3.2881329	3.6556087	4.0185682	4.3730957	4.7155038	5.042355	5.3504781	5.6369788	5.8992464	6.134957	6.3420746	6.5188502	6.6638203	6.7758047	6.8539054	6.8975182	r[28, 30]	r[28, 31]
0.01205368	0.063314917	0.15474679	0.28503573	0.4523037	0.65417211	0.88782158	1.1500579	1.4373825	1.7460643	2.0722108	2.4118354	2.7609207	3.1154748	3.4715808	3.8254402	4.1734075	4.5120199	4.8380195	5.1483706	5.4402727	5.7111687	5.9587505	6.1809621	6.3760005	6.5423155	6.6786089	6.7838328	6.8571897	6.8981434	r[29, 31]
0.011258223	0.059149694	0.14462404	0.26654183	0.42326891	0.6127299	0.83245654	1.0796414	1.3511959	1.6438094	1.9540093	2.2782187	2.6128099	2.954155	3.2986698	3.6428531	3.98332	4.3168294	4.6403067	4.9508619	5.2458028	5.5226458	5.7791219	6.0131825	6.2230011	6.4069747	6.5637244	6.6920941	6.7911505	6.8601825	6.898713
